,epochs,alpha,model,model_ver,training_time_per_step,cosine_similarity_per_phase,final_cosine_similarity,overall_avg_f1,avg_f1_per_phase,avg_f1_final_phase,all_f1_scores,avg_f1_jump,avg_f1_movement,ufo_f1
0,20,0.01,Word2Vec,alignment,2.324675726890564,"[1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418]",1.000000005364418,0.71408703926193,"[0.7108798586770956, 0.7114423855992876, 0.7123398240412692, 0.7148688559075975, 0.7151515117002087, 0.7155707989119489, 0.7145952553684649, 0.7141793632263524, 0.7159069717707933, 0.7159355674162826]",0.7159355674162826,"[[0.7463201440827844, 0.722314814814815, 0.7378733572281959, 0.6876921387790952, 0.7095393245017306, 0.6893271996459917, 0.7465665816382469, 0.678621382968074, 0.6887164434660308, 0.7018271996459916], [0.7463201440827844, 0.7323076789564187, 0.7337033337033336, 0.6876921387790952, 0.7093417531069101, 0.6893271996459917, 0.7465665816382469, 0.678621382968074, 0.6887164434660308, 0.7018271996459916], [0.7463201440827844, 0.7323076789564187, 0.7295172279810721, 0.6876921387790952, 0.7093417531069101, 0.6893271996459917, 0.7506125080593166, 0.6832260747745381, 0.6932263153805732, 0.7018271996459916], [0.7463201440827844, 0.7323076789564187, 0.7295172279810721, 0.7129277601593037, 0.7093417531069101, 0.6893818969290667, 0.7506125080593166, 0.6832260747745381, 0.6932263153805732, 0.7018271996459916], [0.7463201440827844, 0.7323076789564187, 0.7295172279810721, 0.7129277601593037, 0.7121683110330225, 0.6893818969290667, 0.7506125080593166, 0.6832260747745381, 0.6932263153805732, 0.7018271996459916], [0.7463201440827844, 0.7323076789564187, 0.7295172279810721, 0.7129277601593037, 0.7121683110330225, 0.6935747690464672, 0.7506125080593166, 0.6832260747745381, 0.6932263153805732, 0.7018271996459916], [0.7463201440827844, 0.7323076789564187, 0.7295172279810721, 0.7129277601593037, 0.7121683110330225, 0.6935747690464672, 0.7408570726244776, 0.6832260747745381, 0.6932263153805732, 0.7018271996459916], [0.7463201440827844, 0.7323076789564187, 0.7295172279810721, 0.7129277601593037, 0.7121683110330225, 0.6935747690464672, 0.7408570726244776, 0.6790671533534146, 0.6932263153805732, 0.7018271996459916], [0.7463201440827844, 0.7323076789564187, 0.7295172279810721, 0.7129277601593037, 0.7121683110330225, 0.6935747690464672, 0.7408570726244776, 0.6790671533534146, 0.7105024008249815, 0.7018271996459916], [0.7463201440827844, 0.7323076789564187, 0.7295172279810721, 0.7129277601593037, 0.7121683110330225, 0.6935747690464672, 0.7408570726244776, 0.6790671533534146, 0.7105024008249815, 0.7021131561008861]]",0.0046343883207115,0.0001092295371045,0.7853699911044911
1,60,0.01,Word2Vec,alignment,2.964476156234741,"[1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418]",1.000000005364418,0.7193202963773838,"[0.7129922152526831, 0.714805481653065, 0.7148513889464685, 0.7203098391540539, 0.720484914092205, 0.721950311328155, 0.7210405626675969, 0.7219515877767129, 0.7222492203643239, 0.7225674425385756]",0.7225674425385756,"[[0.7651348567596052, 0.722314814814815, 0.742028342028342, 0.6812814378603852, 0.7095393245017306, 0.6893818969290667, 0.7465665816382469, 0.678621382968074, 0.6932263153805732, 0.7018271996459916], [0.7651348567596052, 0.7432789432789432, 0.7295172279810721, 0.6812814378603852, 0.7093417531069101, 0.6893818969290667, 0.7465665816382469, 0.6832260747745381, 0.6984988445558914, 0.7018271996459916], [0.7651348567596052, 0.7432789432789432, 0.7384359806886799, 0.6812814378603852, 0.7093417531069101, 0.6839453584018802, 0.7435394237070928, 0.6790671533534146, 0.7026617826617828, 0.7018271996459916], [0.7651348567596052, 0.7432789432789432, 0.7384359806886799, 0.7398899406505897, 0.7093417531069101, 0.6885586742493732, 0.7435394237070928, 0.6790671533534146, 0.6940244660999378, 0.7018271996459916], [0.7651348567596052, 0.7432789432789432, 0.7384359806886799, 0.7398899406505897, 0.7164005251223297, 0.6885586742493732, 0.7435394237070928, 0.6790671533534146, 0.6887164434660308, 0.7018271996459916], [0.7651348567596052, 0.7432789432789432, 0.7384359806886799, 0.7398899406505897, 0.7164005251223297, 0.7032126466088732, 0.7435394237070928, 0.6790671533534146, 0.6887164434660308, 0.7018271996459916], [0.7651348567596052, 0.7432789432789432, 0.7384359806886799, 0.7398899406505897, 0.7164005251223297, 0.7032126466088732, 0.7344419371015115, 0.6790671533534146, 0.6887164434660308, 0.7018271996459916], [0.7651348567596052, 0.7432789432789432, 0.7384359806886799, 0.7398899406505897, 0.7164005251223297, 0.7032126466088732, 0.7344419371015115, 0.6881774044445739, 0.6887164434660308, 0.7018271996459916], [0.7651348567596052, 0.7432789432789432, 0.7384359806886799, 0.7398899406505897, 0.7164005251223297, 0.7032126466088732, 0.7344419371015115, 0.6881774044445739, 0.6957523278242649, 0.6977676411638676], [0.7651348567596052, 0.7432789432789432, 0.7384359806886799, 0.7398899406505897, 0.7164005251223297, 0.7032126466088732, 0.7344419371015115, 0.6881774044445739, 0.6957523278242649, 0.7009498629063846]]",0.013381666547021,-0.000304725013139,0.7817594834543987
2,100,0.01,Word2Vec,alignment,4.507991003990173,"[1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418]",1.000000005364418,0.7238338791619604,"[0.714153253600451, 0.7152042120616374, 0.7148510293684852, 0.7252469500245333, 0.7259272221333768, 0.727087413501207, 0.727089387259684, 0.729664863804456, 0.7301271459264497, 0.7289873139393246]",0.7289873139393246,"[[0.7721405484308206, 0.722314814814815, 0.742028342028342, 0.6812814378603852, 0.7095393245017306, 0.6893818969290667, 0.7465665816382469, 0.6832260747745381, 0.6932263153805732, 0.7018271996459916], [0.7721405484308206, 0.74026284348865, 0.7337033337033336, 0.6812814378603852, 0.7051533595894499, 0.6893818969290667, 0.7465665816382469, 0.6832260747745381, 0.6984988445558914, 0.7018271996459916], [0.7721405484308206, 0.74026284348865, 0.7512962962962964, 0.6812814378603852, 0.7051533595894499, 0.6839453584018802, 0.7395116305180265, 0.6790671533534146, 0.6940244660999378, 0.7018271996459916], [0.7721405484308206, 0.74026284348865, 0.7512962962962964, 0.7933242036173415, 0.7051533595894499, 0.6885586742493732, 0.7395116305180265, 0.6790671533534146, 0.685387149538093, 0.6977676411638676], [0.7721405484308206, 0.74026284348865, 0.7512962962962964, 0.7933242036173415, 0.7119560806778852, 0.6885586742493732, 0.7395116305180265, 0.6790671533534146, 0.685387149538093, 0.6977676411638676], [0.7721405484308206, 0.74026284348865, 0.7512962962962964, 0.7933242036173415, 0.7119560806778852, 0.7001605879276752, 0.7395116305180265, 0.6790671533534146, 0.685387149538093, 0.6977676411638676], [0.7721405484308206, 0.74026284348865, 0.7512962962962964, 0.7933242036173415, 0.7119560806778852, 0.7001605879276752, 0.7395313681027966, 0.6790671533534146, 0.685387149538093, 0.6977676411638676], [0.7721405484308206, 0.74026284348865, 0.7512962962962964, 0.7933242036173415, 0.7119560806778852, 0.7001605879276752, 0.7395313681027966, 0.7048219188011343, 0.685387149538093, 0.6977676411638676], [0.7721405484308206, 0.74026284348865, 0.7512962962962964, 0.7933242036173415, 0.7119560806778852, 0.7001605879276752, 0.7395313681027966, 0.7048219188011343, 0.6900099707580291, 0.6977676411638676], [0.7721405484308206, 0.74026284348865, 0.7512962962962964, 0.7933242036173415, 0.7119560806778852, 0.7001605879276752, 0.7395313681027966, 0.7048219188011343, 0.6900099707580291, 0.6863693212926174]]",0.0205541551301852,-0.00045242954053,0.7806787020851096
3,140,0.01,Word2Vec,alignment,6.42412314414978,"[1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418]",1.000000005364418,0.7260082834417229,"[0.7110368825460887, 0.7151357589814353, 0.7153147901548829, 0.7254844383671012, 0.7268922625813163, 0.7280447104570349, 0.7317403247220495, 0.7354513217108846, 0.735240665617522, 0.735741679278913]",0.735741679278913,"[[0.745135759308321, 0.722314814814815, 0.742028342028342, 0.6812814378603852, 0.7095393245017306, 0.6893818969290667, 0.7465665816382469, 0.6790671533534146, 0.6932263153805732, 0.7018271996459916], [0.745135759308321, 0.7626945846228196, 0.7378733572281959, 0.6812814378603852, 0.7051533595894499, 0.6893818969290667, 0.7465665816382469, 0.6832260747745381, 0.6982173382173382, 0.7018271996459916], [0.745135759308321, 0.7626945846228196, 0.7597354849853183, 0.6812814378603852, 0.7051533595894499, 0.6839453584018802, 0.7360902255639097, 0.6790671533534146, 0.6982173382173382, 0.7018271996459916], [0.745135759308321, 0.7626945846228196, 0.7597354849853183, 0.7868853729263444, 0.7051533595894499, 0.6885586742493732, 0.7360902255639097, 0.6790671533534146, 0.6937561279081943, 0.6977676411638676], [0.745135759308321, 0.7626945846228196, 0.7597354849853183, 0.7868853729263444, 0.7192316017316017, 0.6885586742493732, 0.7360902255639097, 0.6790671533534146, 0.6937561279081943, 0.6977676411638676], [0.745135759308321, 0.7626945846228196, 0.7597354849853183, 0.7868853729263444, 0.7192316017316017, 0.7042592592592593, 0.7360902255639097, 0.6790671533534146, 0.6895800216554934, 0.6977676411638676], [0.745135759308321, 0.7626945846228196, 0.7597354849853183, 0.7868853729263444, 0.7192316017316017, 0.7042592592592593, 0.7730463682140553, 0.6790671533534146, 0.6895800216554934, 0.6977676411638676], [0.745135759308321, 0.7626945846228196, 0.7597354849853183, 0.7868853729263444, 0.7192316017316017, 0.7042592592592593, 0.7730463682140553, 0.7161771232417647, 0.6895800216554934, 0.6977676411638676], [0.745135759308321, 0.7626945846228196, 0.7597354849853183, 0.7868853729263444, 0.7192316017316017, 0.7042592592592593, 0.7730463682140553, 0.7161771232417647, 0.6874734607218683, 0.6977676411638676], [0.745135759308321, 0.7626945846228196, 0.7597354849853183, 0.7868853729263444, 0.7192316017316017, 0.7042592592592593, 0.7730463682140553, 0.7161771232417647, 0.6874734607218683, 0.7027777777777778]]",0.0305104831113227,-0.0003400787737489,0.7848689439641569
4,20,0.05,Word2Vec,alignment,1.41638925075531,"[1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418]",1.000000005364418,0.723768322196198,"[0.7147684352061299, 0.7161292747356757, 0.7149210803324353, 0.7246852419072166, 0.7253655140160602, 0.7271196944380127, 0.7271210943591482, 0.7296905930160575, 0.729190624857212, 0.7286916690940325]",0.7286916690940325,"[[0.7824512859087327, 0.722314814814815, 0.742028342028342, 0.6812814378603852, 0.7095393245017306, 0.6893818969290667, 0.7465665816382469, 0.6790671533534146, 0.6932263153805732, 0.7018271996459916], [0.7824512859087327, 0.7350327092262576, 0.7378733572281959, 0.6812814378603852, 0.7051533595894499, 0.6893818969290667, 0.7465665816382469, 0.6832260747745381, 0.6984988445558914, 0.7018271996459916], [0.7824512859087327, 0.7350327092262576, 0.7469162027202761, 0.6812814378603852, 0.7051533595894499, 0.6839453584018802, 0.7395116305180265, 0.6790671533534146, 0.6940244660999378, 0.7018271996459916], [0.7824512859087327, 0.7350327092262576, 0.7469162027202761, 0.7828570437172742, 0.7051533595894499, 0.6885586742493732, 0.7395116305180265, 0.6790671533534146, 0.689536718625494, 0.6977676411638676], [0.7824512859087327, 0.7350327092262576, 0.7469162027202761, 0.7828570437172742, 0.7119560806778852, 0.6885586742493732, 0.7395116305180265, 0.6790671533534146, 0.689536718625494, 0.6977676411638676], [0.7824512859087327, 0.7350327092262576, 0.7469162027202761, 0.7828570437172742, 0.7119560806778852, 0.7061004784688995, 0.7395116305180265, 0.6790671533534146, 0.689536718625494, 0.6977676411638676], [0.7824512859087327, 0.7350327092262576, 0.7469162027202761, 0.7828570437172742, 0.7119560806778852, 0.7061004784688995, 0.7436751988167822, 0.6790671533534146, 0.685387149538093, 0.6977676411638676], [0.7824512859087327, 0.7350327092262576, 0.7469162027202761, 0.7828570437172742, 0.7119560806778852, 0.7061004784688995, 0.7436751988167822, 0.7006125708351071, 0.689536718625494, 0.6977676411638676], [0.7824512859087327, 0.7350327092262576, 0.7469162027202761, 0.7828570437172742, 0.7119560806778852, 0.7061004784688995, 0.7436751988167822, 0.7006125708351071, 0.684537037037037, 0.6977676411638676], [0.7824512859087327, 0.7350327092262576, 0.7469162027202761, 0.7828570437172742, 0.7119560806778852, 0.7061004784688995, 0.7436751988167822, 0.7006125708351071, 0.684537037037037, 0.6927780835320737]]",0.0181556241809523,-0.0002983738117227,0.7843035343035343
5,60,0.05,Word2Vec,alignment,3.1372918128967284,"[1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418]",1.000000005364418,0.736144137446606,"[0.7130790089415986, 0.719082291513576, 0.7190442894943374, 0.7336727407816478, 0.7364497862251498, 0.739138417992056, 0.7453374135711741, 0.749083526352045, 0.7525719330735771, 0.7539819665208929]",0.7539819665208929,"[[0.766182536551597, 0.722314814814815, 0.742028342028342, 0.6765155748206596, 0.7095393245017306, 0.6893818969290667, 0.7506125080593166, 0.6790671533534146, 0.6973802971931754, 0.6977676411638676], [0.766182536551597, 0.7733831924475455, 0.7461693240636667, 0.6765155748206596, 0.7053655899445871, 0.6893271996459917, 0.7506125080593166, 0.6832260747745381, 0.7068546547791831, 0.6931862600486761], [0.766182536551597, 0.7733831924475455, 0.7836722488038278, 0.6765155748206596, 0.7053655899445871, 0.6880607315389925, 0.7310100617523859, 0.674895560089381, 0.6981711389457219, 0.6931862600486761], [0.766182536551597, 0.7733831924475455, 0.7836722488038278, 0.8131315239115414, 0.7053655899445871, 0.6880607315389925, 0.7310100617523859, 0.674895560089381, 0.703258321612752, 0.6977676411638676], [0.766182536551597, 0.7733831924475455, 0.7836722488038278, 0.8131315239115414, 0.7267830564899898, 0.6944137194286092, 0.7310100617523859, 0.674895560089381, 0.703258321612752, 0.6977676411638676], [0.766182536551597, 0.7733831924475455, 0.7836722488038278, 0.8131315239115414, 0.7267830564899898, 0.7308022308022307, 0.7310100617523859, 0.674895560089381, 0.6937561279081943, 0.6977676411638676], [0.766182536551597, 0.7733831924475455, 0.7836722488038278, 0.8131315239115414, 0.7267830564899898, 0.7308022308022307, 0.788645915418965, 0.674895560089381, 0.6982173382173382, 0.697660532979325], [0.766182536551597, 0.7733831924475455, 0.7836722488038278, 0.8131315239115414, 0.7267830564899898, 0.7308022308022307, 0.788645915418965, 0.712356687898089, 0.6982173382173382, 0.697660532979325], [0.766182536551597, 0.7733831924475455, 0.7836722488038278, 0.8131315239115414, 0.7267830564899898, 0.7308022308022307, 0.788645915418965, 0.712356687898089, 0.733101405432659, 0.697660532979325], [0.766182536551597, 0.7733831924475455, 0.7836722488038278, 0.8131315239115414, 0.7267830564899898, 0.7308022308022307, 0.788645915418965, 0.712356687898089, 0.733101405432659, 0.7117608674524831]]",0.0474527347273959,-0.0002227782315261,0.7848689439641569
6,100,0.05,Word2Vec,alignment,4.769740533828736,"[1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418]",1.000000005364418,0.7348534579023451,"[0.7159027326752879, 0.7207437146747219, 0.7196404741953504, 0.7329657694528194, 0.7360225929382025, 0.7376186041040468, 0.741578592849206, 0.7450659027521694, 0.7495216052819635, 0.7494745900996826]",0.7494745900996826,"[[0.8031063321385902, 0.722314814814815, 0.742028342028342, 0.6765155748206596, 0.7095393245017306, 0.6893271996459917, 0.7465665816382469, 0.6744812188074599, 0.6973802971931754, 0.6977676411638676], [0.8031063321385902, 0.755863334977259, 0.7461693240636667, 0.6765155748206596, 0.7062174606383218, 0.6893271996459917, 0.7465665816382469, 0.678621382968074, 0.711863695807733, 0.6931862600486761], [0.8031063321385902, 0.755863334977259, 0.770992532455589, 0.6765155748206596, 0.7062174606383218, 0.6880607315389925, 0.7357463779090313, 0.674895560089381, 0.6919179051663128, 0.693088932219367], [0.8031063321385902, 0.755863334977259, 0.770992532455589, 0.8092623485823797, 0.7062174606383218, 0.6814459031882235, 0.7357463779090313, 0.674895560089381, 0.6990389123300517, 0.693088932219367], [0.8031063321385902, 0.755863334977259, 0.770992532455589, 0.8092623485823797, 0.7323171268312793, 0.6814459031882235, 0.7357463779090313, 0.674895560089381, 0.7035074809909246, 0.693088932219367], [0.8031063321385902, 0.755863334977259, 0.770992532455589, 0.8092623485823797, 0.7323171268312793, 0.7113767772120972, 0.7357463779090313, 0.674895560089381, 0.689536718625494, 0.693088932219367], [0.8031063321385902, 0.755863334977259, 0.770992532455589, 0.8092623485823797, 0.7323171268312793, 0.7113767772120972, 0.7753462653606237, 0.674895560089381, 0.689536718625494, 0.693088932219367], [0.8031063321385902, 0.755863334977259, 0.770992532455589, 0.8092623485823797, 0.7323171268312793, 0.7113767772120972, 0.7753462653606237, 0.7097686591190152, 0.689536718625494, 0.693088932219367], [0.8031063321385902, 0.755863334977259, 0.770992532455589, 0.8092623485823797, 0.7323171268312793, 0.7113767772120972, 0.7753462653606237, 0.7097686591190152, 0.7340937439234341, 0.693088932219367], [0.8031063321385902, 0.755863334977259, 0.770992532455589, 0.8092623485823797, 0.7323171268312793, 0.7113767772120972, 0.7753462653606237, 0.7097686591190152, 0.7340937439234341, 0.6926187803965581]]",0.0406343224988083,-0.0003702509659917,0.7900063510274323
7,140,0.05,Word2Vec,alignment,6.134002709388733,"[1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418]",1.000000005364418,0.7344325439127354,"[0.7143204637226359, 0.7207937452402773, 0.7215446107745045, 0.7324556885669414, 0.7341100113720982, 0.736006584010674, 0.7410420372332709, 0.7444391582403832, 0.7483972212149061, 0.7512159187516618]",0.7512159187516618,"[[0.7920865346556338, 0.722314814814815, 0.742028342028342, 0.6717126827770965, 0.7095393245017306, 0.6893271996459917, 0.7465665816382469, 0.6744812188074599, 0.6973802971931754, 0.6977676411638676], [0.7920865346556338, 0.7656931374260608, 0.7461693240636667, 0.6765155748206596, 0.7123654374030313, 0.6893271996459917, 0.7465665816382469, 0.678621382968074, 0.7074060197327339, 0.6931862600486761], [0.7920865346556338, 0.7656931374260608, 0.7733953289508845, 0.6717126827770965, 0.7123654374030313, 0.6921644031696311, 0.7418439716312056, 0.6749031206219942, 0.7022618977274965, 0.6890195933820095], [0.7920865346556338, 0.7656931374260608, 0.7733953289508845, 0.7906654142568108, 0.7123654374030313, 0.6877244439601419, 0.7418439716312056, 0.6749031206219942, 0.6968599033816426, 0.6890195933820095], [0.7920865346556338, 0.7656931374260608, 0.7733953289508845, 0.7906654142568108, 0.7276721165610054, 0.6931358029192091, 0.7418439716312056, 0.6749031206219942, 0.6926850933161672, 0.6890195933820095], [0.7920865346556338, 0.7612718616872317, 0.7733953289508845, 0.7906654142568108, 0.7276721165610054, 0.7227777777777779, 0.7418439716312056, 0.6749031206219942, 0.6864301205821869, 0.6890195933820095], [0.7920865346556338, 0.7612718616872317, 0.7690821256038648, 0.7906654142568108, 0.7276721165610054, 0.7227777777777779, 0.7924423683668372, 0.6749031206219942, 0.6864301205821869, 0.693088932219367], [0.7920865346556338, 0.7612718616872317, 0.7690821256038648, 0.7906654142568108, 0.7276721165610054, 0.7227777777777779, 0.7924423683668372, 0.7088743306931181, 0.6864301205821869, 0.693088932219367], [0.7920865346556338, 0.7612718616872317, 0.7690821256038648, 0.7906654142568108, 0.7276721165610054, 0.7227777777777779, 0.7924423683668372, 0.7088743306931181, 0.7306035813522692, 0.6884961011945139], [0.7920865346556338, 0.7612718616872317, 0.7690821256038648, 0.7906654142568108, 0.7276721165610054, 0.7227777777777779, 0.7924423683668372, 0.7088743306931181, 0.7306035813522692, 0.7166830765620714]]",0.0434928617710129,-0.0002775457487512,0.7940942127684609
8,20,0.1,Word2Vec,alignment,1.4691311120986938,"[1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418]",1.000000005364418,0.7351647599501794,"[0.712711343953989, 0.7189715091454748, 0.7198938653691396, 0.7320977888520914, 0.7359764345359954, 0.7414388257341077, 0.7450473372460136, 0.7486267354301218, 0.747973507862987, 0.7489102513718725]",0.7489102513718725,"[[0.7659946291525239, 0.722314814814815, 0.742028342028342, 0.6812814378603852, 0.7095393245017306, 0.6893271996459917, 0.7465665816382469, 0.6790671533534146, 0.6932263153805732, 0.6977676411638676], [0.7659946291525239, 0.7672368462231841, 0.7461693240636667, 0.6812814378603852, 0.7053655899445871, 0.6893818969290667, 0.7465665816382469, 0.6832260747745381, 0.7026655112225582, 0.7018271996459916], [0.7659946291525239, 0.7672368462231841, 0.7836722488038278, 0.6765155748206596, 0.7053655899445871, 0.6839453584018802, 0.7370967151279891, 0.6790671533534146, 0.6982173382173382, 0.7018271996459916], [0.7659946291525239, 0.7672368462231841, 0.7836722488038278, 0.8026143681323029, 0.7053655899445871, 0.6839453584018802, 0.7370967151279891, 0.6790671533534146, 0.6982173382173382, 0.6977676411638676], [0.7659946291525239, 0.7672368462231841, 0.7836722488038278, 0.8026143681323029, 0.7441520467836257, 0.6839453584018802, 0.7370967151279891, 0.6790671533534146, 0.6982173382173382, 0.6977676411638676], [0.7659946291525239, 0.7672368462231841, 0.7836722488038278, 0.8026143681323029, 0.7441520467836257, 0.7385692703830037, 0.7370967151279891, 0.6790671533534146, 0.6982173382173382, 0.6977676411638676], [0.7659946291525239, 0.7672368462231841, 0.7836722488038278, 0.8026143681323029, 0.7441520467836257, 0.7385692703830037, 0.7731818302470477, 0.6790671533534146, 0.6982173382173382, 0.6977676411638676], [0.7659946291525239, 0.7672368462231841, 0.7836722488038278, 0.8026143681323029, 0.7441520467836257, 0.7385692703830037, 0.7731818302470477, 0.7148611351944975, 0.6982173382173382, 0.6977676411638676], [0.7659946291525239, 0.7672368462231841, 0.7836722488038278, 0.8026143681323029, 0.7441520467836257, 0.7385692703830037, 0.7731818302470477, 0.7148611351944975, 0.6916850625459897, 0.6977676411638676], [0.7659946291525239, 0.7672368462231841, 0.7836722488038278, 0.8026143681323029, 0.7441520467836257, 0.7385692703830037, 0.7731818302470477, 0.7148611351944975, 0.6916850625459897, 0.7071350762527233]]",0.0418498194064426,-0.000180979018261,0.7848689439641569
9,60,0.1,Word2Vec,alignment,2.991309571266174,"[1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418, 1.000000005364418]",1.000000005364418,0.7349019612514504,"[0.7148633268044213, 0.7192067394019636, 0.7168821579644352, 0.7312217087420355, 0.7367224706554005, 0.7388583142137893, 0.7431954080935232, 0.745354846048446, 0.7496974448113196, 0.7530171957791689]",0.7530171957791689,"[[0.7927122734299248, 0.722314814814815, 0.742028342028342, 0.6765155748206596, 0.7095393245017306, 0.6893271996459917, 0.7465665816382469, 0.6744812188074599, 0.6973802971931754, 0.6977676411638676], [0.7927122734299248, 0.7559234253286643, 0.742028342028342, 0.6765155748206596, 0.7011767514023153, 0.6893271996459917, 0.7465665816382469, 0.678621382968074, 0.7160096027087409, 0.6931862600486761], [0.7927122734299248, 0.7559234253286643, 0.7756475429678046, 0.6717126827770965, 0.7011767514023153, 0.6880607315389925, 0.7323235054458662, 0.6749031206219942, 0.6919179051663128, 0.6844436409653801], [0.7927122734299248, 0.7559234253286643, 0.7756475429678046, 0.7916568443395468, 0.7011767514023153, 0.6931358029192091, 0.7323235054458662, 0.6749031206219942, 0.7016488887456629, 0.693088932219367], [0.7927122734299248, 0.7559234253286643, 0.7756475429678046, 0.7916568443395468, 0.73736237799714, 0.6985545061780916, 0.7370967151279891, 0.6749031206219942, 0.7102789683434846, 0.693088932219367], [0.7927122734299248, 0.7559234253286643, 0.7756475429678046, 0.7916568443395468, 0.73736237799714, 0.7336927570845698, 0.7370967151279891, 0.6749031206219942, 0.6964991530208922, 0.693088932219367], [0.7927122734299248, 0.7559234253286643, 0.7756475429678046, 0.7916568443395468, 0.73736237799714, 0.7336927570845698, 0.775949900261466, 0.6749031206219942, 0.7010169066847558, 0.693088932219367], [0.7927122734299248, 0.7559234253286643, 0.7756475429678046, 0.7916568443395468, 0.73736237799714, 0.7336927570845698, 0.775949900261466, 0.6964975001712211, 0.7010169066847558, 0.693088932219367], [0.7927122734299248, 0.7559234253286643, 0.7756475429678046, 0.7916568443395468, 0.73736237799714, 0.7336927570845698, 0.775949900261466, 0.6964975001712211, 0.7490357253383454, 0.6884961011945139], [0.7927122734299248, 0.7559234253286643, 0.7756475429678046, 0.7916568443395468, 0.73736237799714, 0.7336927570845698, 0.775949900261466, 0.6964975001712211, 0.7490357253383454, 0.7216936108730073]]",0.0444621937257613,-0.0002298895528935,0.7859081404904114
