,epochs,alpha,model,cosine_similarity_per_phase,final_cosine_similarity,overall_avg_f1,avg_f1_per_phase,avg_f1_final_phase,all_f1_scores,avg_f1_jump,avg_f1_movement
0,10,0.01,Word2Vec,"[1.0, 0.999, 0.999, 0.999, 0.998, 0.998, 0.997, 0.997, 0.997, 0.997]",0.997,0.7132799999999995,"[0.7072, 0.7087000000000001, 0.7101, 0.7133, 0.7136, 0.7166, 0.7162, 0.7160000000000001, 0.7142000000000001, 0.7169]",0.7169,"[[0.72, 0.756, 0.716, 0.693, 0.715, 0.69, 0.72, 0.67, 0.729, 0.663], [0.729, 0.757, 0.715, 0.693, 0.734, 0.691, 0.716, 0.67, 0.719, 0.663], [0.725, 0.757, 0.715, 0.703, 0.729, 0.698, 0.712, 0.675, 0.723, 0.664], [0.725, 0.762, 0.715, 0.753, 0.733, 0.686, 0.707, 0.662, 0.723, 0.667], [0.725, 0.752, 0.72, 0.753, 0.733, 0.69, 0.706, 0.671, 0.714, 0.672], [0.725, 0.757, 0.725, 0.75, 0.742, 0.689, 0.711, 0.671, 0.724, 0.672], [0.725, 0.752, 0.728, 0.759, 0.736, 0.69, 0.709, 0.667, 0.724, 0.672], [0.725, 0.752, 0.733, 0.753, 0.724, 0.686, 0.718, 0.666, 0.724, 0.679], [0.725, 0.748, 0.733, 0.749, 0.724, 0.686, 0.711, 0.662, 0.725, 0.679], [0.725, 0.744, 0.729, 0.755, 0.724, 0.69, 0.716, 0.666, 0.72, 0.7]]",0.007666666666666661,0.0003456790123456793
0,30,0.01,Word2Vec,"[0.999, 0.998, 0.997, 0.997, 0.996, 0.995, 0.994, 0.994, 0.993, 0.992]",0.992,0.71919,"[0.7115, 0.7137, 0.7132, 0.7176000000000001, 0.7152000000000001, 0.7189, 0.7238999999999999, 0.7243, 0.7245, 0.7291000000000001]",0.7291000000000001,"[[0.742, 0.751, 0.715, 0.698, 0.732, 0.695, 0.721, 0.67, 0.728, 0.663], [0.741, 0.768, 0.711, 0.701, 0.745, 0.687, 0.716, 0.675, 0.715, 0.678], [0.731, 0.769, 0.722, 0.695, 0.742, 0.692, 0.711, 0.672, 0.723, 0.675], [0.727, 0.769, 0.722, 0.754, 0.735, 0.682, 0.711, 0.676, 0.732, 0.668], [0.732, 0.76, 0.722, 0.754, 0.735, 0.678, 0.711, 0.672, 0.715, 0.673], [0.742, 0.751, 0.718, 0.763, 0.735, 0.685, 0.717, 0.672, 0.729, 0.677], [0.742, 0.761, 0.719, 0.752, 0.739, 0.707, 0.745, 0.672, 0.725, 0.677], [0.738, 0.761, 0.719, 0.759, 0.735, 0.703, 0.742, 0.688, 0.721, 0.677], [0.738, 0.761, 0.719, 0.755, 0.734, 0.699, 0.742, 0.68, 0.73, 0.687], [0.738, 0.766, 0.719, 0.759, 0.734, 0.709, 0.742, 0.68, 0.73, 0.714]]",0.0193333333333333,2.469135802469275e-05
1,50,0.01,Word2Vec,"[0.999, 0.997, 0.996, 0.996, 0.994, 0.993, 0.992, 0.991, 0.99, 0.989]",0.989,0.7224700000000002,"[0.7123, 0.7131000000000001, 0.7167, 0.7194999999999999, 0.7184, 0.7239999999999999, 0.7282000000000001, 0.7274, 0.7283999999999999, 0.7366999999999999]",0.7366999999999999,"[[0.743, 0.751, 0.715, 0.703, 0.737, 0.695, 0.716, 0.68, 0.723, 0.66], [0.741, 0.764, 0.72, 0.705, 0.737, 0.688, 0.716, 0.675, 0.711, 0.674], [0.744, 0.764, 0.723, 0.699, 0.742, 0.696, 0.716, 0.681, 0.724, 0.678], [0.744, 0.764, 0.714, 0.773, 0.735, 0.679, 0.714, 0.674, 0.728, 0.67], [0.747, 0.762, 0.718, 0.767, 0.726, 0.684, 0.703, 0.675, 0.72, 0.682], [0.751, 0.758, 0.723, 0.773, 0.721, 0.712, 0.72, 0.68, 0.725, 0.677], [0.748, 0.763, 0.728, 0.773, 0.731, 0.712, 0.746, 0.68, 0.735, 0.666], [0.752, 0.763, 0.727, 0.773, 0.718, 0.708, 0.746, 0.689, 0.727, 0.671], [0.752, 0.756, 0.727, 0.773, 0.725, 0.705, 0.741, 0.696, 0.738, 0.671], [0.757, 0.771, 0.727, 0.782, 0.725, 0.705, 0.741, 0.694, 0.745, 0.72]]",0.0226666666666666,0.0004938271604938
2,70,0.01,Word2Vec,"[0.998, 0.996, 0.995, 0.994, 0.993, 0.991, 0.99, 0.989, 0.987, 0.986]",0.986,0.7244999999999999,"[0.7144, 0.7154, 0.7165999999999999, 0.7220000000000001, 0.7268, 0.7255, 0.7289999999999999, 0.7302, 0.7300000000000001, 0.7350999999999999]",0.7350999999999999,"[[0.755, 0.751, 0.715, 0.703, 0.737, 0.695, 0.716, 0.684, 0.723, 0.665], [0.751, 0.764, 0.72, 0.705, 0.742, 0.681, 0.716, 0.68, 0.711, 0.684], [0.751, 0.764, 0.729, 0.695, 0.741, 0.702, 0.71, 0.681, 0.715, 0.678], [0.744, 0.764, 0.728, 0.77, 0.734, 0.69, 0.71, 0.679, 0.719, 0.682], [0.756, 0.772, 0.737, 0.776, 0.727, 0.713, 0.703, 0.68, 0.733, 0.671], [0.761, 0.778, 0.737, 0.763, 0.726, 0.701, 0.708, 0.68, 0.73, 0.671], [0.764, 0.771, 0.733, 0.763, 0.731, 0.701, 0.74, 0.68, 0.73, 0.677], [0.768, 0.771, 0.732, 0.769, 0.722, 0.697, 0.746, 0.689, 0.731, 0.677], [0.764, 0.777, 0.732, 0.769, 0.717, 0.697, 0.73, 0.7, 0.743, 0.671], [0.764, 0.777, 0.732, 0.778, 0.716, 0.693, 0.731, 0.706, 0.738, 0.716]]",0.0195555555555555,0.0003827160493827
1,90,0.01,Word2Vec,"[0.998, 0.996, 0.994, 0.993, 0.991, 0.99, 0.988, 0.987, 0.985, 0.984]",0.984,0.7259699999999998,"[0.7144, 0.7163, 0.7206, 0.7238000000000001, 0.7262000000000001, 0.7272000000000001, 0.7285999999999999, 0.732, 0.734, 0.7365999999999999]",0.7365999999999999,"[[0.755, 0.751, 0.715, 0.703, 0.737, 0.695, 0.716, 0.684, 0.723, 0.665], [0.751, 0.764, 0.724, 0.705, 0.742, 0.685, 0.716, 0.68, 0.707, 0.689], [0.756, 0.769, 0.734, 0.695, 0.742, 0.694, 0.719, 0.686, 0.724, 0.687], [0.749, 0.774, 0.734, 0.776, 0.734, 0.695, 0.702, 0.679, 0.719, 0.676], [0.756, 0.758, 0.743, 0.776, 0.725, 0.713, 0.702, 0.684, 0.734, 0.671], [0.778, 0.758, 0.733, 0.776, 0.733, 0.701, 0.712, 0.684, 0.735, 0.662], [0.773, 0.758, 0.727, 0.769, 0.743, 0.701, 0.728, 0.68, 0.735, 0.672], [0.777, 0.765, 0.732, 0.769, 0.736, 0.698, 0.729, 0.71, 0.727, 0.677], [0.761, 0.771, 0.727, 0.773, 0.728, 0.708, 0.725, 0.711, 0.764, 0.672], [0.762, 0.764, 0.727, 0.783, 0.731, 0.699, 0.72, 0.711, 0.763, 0.706]]",0.022222222222222216,0.00027160493827160516
2,10,0.025,Word2Vec,"[0.999, 0.998, 0.998, 0.997, 0.996, 0.996, 0.995, 0.994, 0.993, 0.993]",0.993,0.7178100000000001,"[0.7093, 0.7131000000000001, 0.7115, 0.7162999999999999, 0.7159999999999999, 0.7176, 0.7213999999999999, 0.721, 0.7241, 0.7277999999999999]",0.7277999999999999,"[[0.738, 0.751, 0.715, 0.693, 0.72, 0.695, 0.716, 0.675, 0.727, 0.663], [0.742, 0.769, 0.715, 0.701, 0.734, 0.687, 0.716, 0.675, 0.719, 0.673], [0.731, 0.769, 0.718, 0.695, 0.733, 0.691, 0.711, 0.671, 0.728, 0.668], [0.724, 0.764, 0.718, 0.759, 0.733, 0.687, 0.706, 0.676, 0.732, 0.664], [0.738, 0.755, 0.722, 0.758, 0.728, 0.685, 0.706, 0.672, 0.724, 0.672], [0.738, 0.755, 0.718, 0.756, 0.731, 0.69, 0.711, 0.672, 0.737, 0.668], [0.738, 0.755, 0.722, 0.756, 0.731, 0.69, 0.74, 0.672, 0.737, 0.673], [0.733, 0.755, 0.719, 0.75, 0.731, 0.703, 0.731, 0.683, 0.734, 0.671], [0.733, 0.751, 0.719, 0.763, 0.734, 0.704, 0.731, 0.688, 0.739, 0.679], [0.738, 0.747, 0.723, 0.759, 0.73, 0.704, 0.736, 0.688, 0.744, 0.709]]",0.017777777777777767,0.00030864197530864224
3,30,0.025,Word2Vec,"[0.998, 0.996, 0.994, 0.994, 0.992, 0.99, 0.989, 0.988, 0.986, 0.985]",0.985,0.72539,"[0.7139, 0.718, 0.7184999999999999, 0.7220000000000002, 0.7247000000000001, 0.7270999999999999, 0.7285, 0.7304999999999999, 0.732, 0.7386999999999999]",0.7386999999999999,"[[0.755, 0.751, 0.715, 0.703, 0.737, 0.695, 0.716, 0.684, 0.723, 0.66], [0.755, 0.764, 0.724, 0.697, 0.747, 0.688, 0.716, 0.685, 0.715, 0.689], [0.755, 0.764, 0.734, 0.695, 0.741, 0.702, 0.715, 0.672, 0.715, 0.692], [0.744, 0.769, 0.73, 0.776, 0.734, 0.685, 0.703, 0.674, 0.723, 0.682], [0.757, 0.771, 0.726, 0.776, 0.73, 0.704, 0.698, 0.684, 0.725, 0.676], [0.771, 0.767, 0.724, 0.769, 0.732, 0.712, 0.71, 0.68, 0.731, 0.675], [0.772, 0.772, 0.718, 0.774, 0.734, 0.707, 0.731, 0.671, 0.731, 0.675], [0.764, 0.765, 0.723, 0.77, 0.732, 0.708, 0.731, 0.71, 0.731, 0.671], [0.758, 0.775, 0.728, 0.774, 0.725, 0.7, 0.735, 0.705, 0.75, 0.67], [0.769, 0.768, 0.727, 0.779, 0.724, 0.72, 0.733, 0.705, 0.746, 0.716]]",0.0258888888888888,0.0001851851851851
4,50,0.025,Word2Vec,"[0.997, 0.994, 0.992, 0.991, 0.989, 0.987, 0.984, 0.983, 0.981, 0.98]",0.98,0.7279999999999996,"[0.7141, 0.7219, 0.7212000000000001, 0.7271000000000001, 0.7282, 0.7277, 0.7315999999999999, 0.7342, 0.7344, 0.7395999999999999]",0.7395999999999999,"[[0.76, 0.751, 0.719, 0.703, 0.733, 0.695, 0.716, 0.68, 0.719, 0.665], [0.767, 0.768, 0.737, 0.701, 0.741, 0.69, 0.721, 0.68, 0.716, 0.698], [0.765, 0.773, 0.728, 0.694, 0.741, 0.704, 0.723, 0.681, 0.716, 0.687], [0.763, 0.762, 0.733, 0.78, 0.734, 0.71, 0.718, 0.671, 0.724, 0.676], [0.763, 0.752, 0.732, 0.78, 0.73, 0.724, 0.717, 0.684, 0.734, 0.666], [0.782, 0.748, 0.731, 0.785, 0.724, 0.704, 0.726, 0.675, 0.73, 0.672], [0.781, 0.758, 0.731, 0.785, 0.724, 0.709, 0.728, 0.693, 0.734, 0.673], [0.778, 0.749, 0.727, 0.785, 0.732, 0.714, 0.737, 0.718, 0.731, 0.671], [0.766, 0.753, 0.727, 0.78, 0.722, 0.709, 0.74, 0.718, 0.755, 0.674], [0.763, 0.746, 0.723, 0.785, 0.735, 0.714, 0.738, 0.723, 0.759, 0.71]]",0.0174444444444444,0.0012098765432098
5,70,0.025,Word2Vec,"[0.997, 0.993, 0.99, 0.989, 0.986, 0.984, 0.981, 0.979, 0.977, 0.975]",0.975,0.7287899999999997,"[0.7176, 0.7235, 0.7212, 0.7254, 0.7272000000000001, 0.7278, 0.7295999999999999, 0.7377, 0.7369999999999999, 0.7409000000000001]",0.7409000000000001,"[[0.76, 0.756, 0.724, 0.703, 0.733, 0.7, 0.716, 0.68, 0.724, 0.68], [0.765, 0.785, 0.738, 0.695, 0.746, 0.687, 0.715, 0.685, 0.725, 0.694], [0.775, 0.778, 0.722, 0.687, 0.74, 0.71, 0.704, 0.674, 0.725, 0.697], [0.766, 0.778, 0.722, 0.769, 0.741, 0.707, 0.702, 0.668, 0.725, 0.676], [0.771, 0.764, 0.722, 0.773, 0.736, 0.713, 0.702, 0.676, 0.734, 0.681], [0.776, 0.758, 0.731, 0.785, 0.74, 0.707, 0.702, 0.667, 0.735, 0.677], [0.775, 0.754, 0.731, 0.785, 0.736, 0.699, 0.745, 0.667, 0.739, 0.665], [0.77, 0.758, 0.727, 0.79, 0.746, 0.699, 0.745, 0.728, 0.735, 0.679], [0.765, 0.754, 0.736, 0.784, 0.732, 0.681, 0.745, 0.728, 0.768, 0.677], [0.779, 0.754, 0.725, 0.771, 0.74, 0.674, 0.738, 0.732, 0.773, 0.723]]",0.0296666666666666,-0.0004197530864197
3,90,0.025,Word2Vec,"[0.996, 0.992, 0.988, 0.987, 0.984, 0.981, 0.978, 0.976, 0.973, 0.971]",0.971,0.7317200000000001,"[0.7192999999999999, 0.7243999999999999, 0.7254000000000002, 0.7303999999999999, 0.7268, 0.7251, 0.7312000000000001, 0.7394000000000001, 0.7470000000000001, 0.7482]",0.7482,"[[0.76, 0.756, 0.724, 0.703, 0.733, 0.702, 0.716, 0.685, 0.734, 0.68], [0.776, 0.788, 0.738, 0.702, 0.742, 0.683, 0.724, 0.673, 0.725, 0.693], [0.775, 0.786, 0.722, 0.698, 0.74, 0.719, 0.719, 0.684, 0.726, 0.685], [0.779, 0.786, 0.727, 0.794, 0.745, 0.711, 0.702, 0.672, 0.725, 0.663], [0.774, 0.762, 0.726, 0.785, 0.75, 0.719, 0.702, 0.664, 0.721, 0.665], [0.779, 0.751, 0.726, 0.784, 0.739, 0.715, 0.716, 0.659, 0.717, 0.665], [0.763, 0.755, 0.735, 0.785, 0.745, 0.71, 0.761, 0.663, 0.726, 0.669], [0.771, 0.755, 0.74, 0.784, 0.744, 0.712, 0.751, 0.735, 0.723, 0.679], [0.771, 0.747, 0.745, 0.794, 0.75, 0.719, 0.743, 0.735, 0.792, 0.674], [0.771, 0.742, 0.745, 0.787, 0.739, 0.713, 0.737, 0.74, 0.787, 0.721]]",0.038444444444444455,-0.0007037037037037043
